genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
VK422.SG,7476,Norway_Viking,"Arnestad lille (25/1) (Nor South, Hedmark, Åmot)",Norway,61.15,11.34,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,M,"1240k,ho"
VK394.SG,49669,Norway_Viking,"Arnestad store (24/1) (Nor South, Hedmark, Åmot)",Norway,61.15,11.34,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,M,"1240k,ho"
VK394_d.SG,49802,Norway_Viking,"Arnestad store (24/1) (Nor South, Hedmark, Åmot)",Norway,61.15,11.34,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,M,"1240k,ho"
CGG_2_105915.SG,117665,Norway_Aunvollen_Viking,Aunvollen (Central Norway/ Trøndelag),Norway,63.12322,16.90684,McCollWillerslevBioRxiv2025,,800-1050 calCE (1025±125 BP),943,134,675,1211,943,800-1050 calCE (1025±125 BP),Shotgun,M,"1240k,ho"
CGG_2_107012.SG,118021,Norway_Balsnes_IA,Balsnes (Northern Norway/ Troms),Norway,69.540721,18.853029,McCollWillerslevBioRxiv2025,,600-800 calCE (1250±100 BP),1155,99,957,1353,1155,600-800 calCE (1250±100 BP),Shotgun,M,"1240k,ho"
NOR119.HO,32113,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR124.HO,32116,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR106.HO,32153,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR101.HO,32161,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR146.HO,32174,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR108.HO,32182,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR126.HO,32187,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR107.HO,32198,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR109.HO,32206,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR148.HO,32236,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
NOR111.HO,32253,Norwegian,Bergen,Norway,60.359,5.358,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,HumanOrigins,M,ho
CGG_2_105634.SG,117643,Norway_Bergvin_EBA,Bergvin (Central Norway/ Trøndelag),Norway,63.74603,11.2983,McCollWillerslevBioRxiv2025,,1700-500 calBCE (3050±600 BP),3360,777,1806,4914,3360,1700-500 calBCE (3050±600 BP),Shotgun,F,"1240k,ho"
CGG_2_105635.SG,117645,Norway_Bergvin_EBA,Bergvin (Central Norway/ Trøndelag),Norway,63.74603,11.2983,McCollWillerslevBioRxiv2025,,"1433-1299 calBCE (3316±67 BP, UCIAMS-272872)",3549,82,3385,3713,3549,"1433-1299 calBCE (3316±67 BP, UCIAMS-272872)",Shotgun,F,"1240k,ho"
