locality,locality_token,profile_name,ranking_status,total_score,evidence_density_signal,chronology_alignment_signal,species_diversity_signal,contextual_support_signal,missingness_penalty,direct_sample_count,distinct_species_count,nearby_context_points,nearby_context_layer_count,temporal_overlap_points,sampling_recommendation_ready,recommendation_posture,ranking_blockers,recommendation_blockers,warning_flags,rationale
"Alsike (Uppsala län, Knivsta)",homo_sapiens:aadr:sweden:alsike-uppsala-l-n-knivsta:59-8-17-8,atlas_exploration,downgraded,0.316,0.7358,0.5,0.3467,0.2536,0.165,4,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.7358; chronology=0.5000; species=0.3467; context=0.2536 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Skomsta (Uppsala län, Uppsala)",homo_sapiens:aadr:sweden:skomsta-uppsala-l-n-uppsala:59-86-17-65,atlas_exploration,downgraded,0.2875,0.5692,0.5,0.3467,0.3388,0.165,2,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 2 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.5692; chronology=0.5000; species=0.3467; context=0.3388 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Kolind (Jutland Region),homo_sapiens:aadr:denmark:kolind-jutland-region:56-362-10-593,atlas_exploration,downgraded,0.2589,0.5692,0.5,0.3467,0.2571,0.165,2,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 2 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.5692; chronology=0.5000; species=0.3467; context=0.2571 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Gjerrild Cist (Eastern Jutland, Djursland)",homo_sapiens:aadr:denmark:gjerrild-cist-eastern-jutland-djursland:56-5-10-82,atlas_exploration,downgraded,0.2587,0.5692,0.5,0.3467,0.2567,0.165,2,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 2 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.5692; chronology=0.5000; species=0.3467; context=0.2567 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Koed (Jutland Region),homo_sapiens:aadr:denmark:koed-jutland-region:56-371-10-573,atlas_exploration,downgraded,0.2571,0.5692,0.5,0.3467,0.2519,0.165,2,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 2 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.5692; chronology=0.5000; species=0.3467; context=0.2519 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Fannerup E (Jutland Region),homo_sapiens:aadr:denmark:fannerup-e-jutland-region:56-401-10-718,atlas_exploration,downgraded,0.2244,0.4858,0.5,0.3467,0.3277,0.195,1,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 1 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.4858; chronology=0.5000; species=0.3467; context=0.3277 | missingness penalty=0.1950; ranking status=downgraded | recommendation posture=exploratory_only"
Fannerup D (Jutland Region),homo_sapiens:aadr:denmark:fannerup-d-jutland-region:56-401-10-715,atlas_exploration,downgraded,0.2239,0.4858,0.5,0.3467,0.3264,0.195,1,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 1 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.4858; chronology=0.5000; species=0.3467; context=0.3264 | missingness penalty=0.1950; ranking status=downgraded | recommendation posture=exploratory_only"
Fannerup F (Jutland Region),homo_sapiens:aadr:denmark:fannerup-f-jutland-region:56-4-10-714,atlas_exploration,downgraded,0.2236,0.4858,0.5,0.3467,0.3255,0.195,1,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 1 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.4858; chronology=0.5000; species=0.3467; context=0.3255 | missingness penalty=0.1950; ranking status=downgraded | recommendation posture=exploratory_only"
Kainsbakke II (Jutland Region),homo_sapiens:aadr:denmark:kainsbakke-ii-jutland-region:56-433-10-789,atlas_exploration,downgraded,0.2198,0.4858,0.5,0.3467,0.3147,0.195,1,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 1 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.4858; chronology=0.5000; species=0.3467; context=0.3147 | missingness penalty=0.1950; ranking status=downgraded | recommendation posture=exploratory_only"
Nederst (Jutland Region),homo_sapiens:aadr:denmark:nederst-jutland-region:56-365-10-643,atlas_exploration,downgraded,0.2073,0.4858,0.5,0.3467,0.2788,0.195,1,1,1,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 1 direct ancient-DNA samples support 1 species at this locality anchor | 1 nearby context points across 1 context layers shape the support surface | score families: evidence=0.4858; chronology=0.5000; species=0.3467; context=0.2788 | missingness penalty=0.1950; ranking status=downgraded | recommendation posture=exploratory_only"
Ahlgade 15-17 (Holbæk),homo_sapiens:aadr:denmark:ahlgade-15-17-holb-k:55-72-11-71,atlas_exploration,downgraded,0.2055,0.9025,1.0,0.3467,0.0,0.345,25,1,0,0,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | no_nearby_context | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 25 direct ancient-DNA samples support 1 species at this locality anchor | 0 nearby context points across 0 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.0000 | missingness penalty=0.3450; ranking status=downgraded | recommendation posture=exploratory_only"
Albäcksbacken Maglarp (Southern Sweden/ Skåne),homo_sapiens:aadr:sweden:alb-cksbacken-maglarp-southern-sweden-sk-ne:55-37774-13-095066,atlas_exploration,downgraded,0.2055,0.9025,1.0,0.3467,0.0,0.345,15,1,0,0,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | no_nearby_context | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 0 nearby context points across 0 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.0000 | missingness penalty=0.3450; ranking status=downgraded | recommendation posture=exploratory_only"
