locality,locality_token,profile_name,ranking_status,total_score,evidence_density_signal,chronology_alignment_signal,species_diversity_signal,contextual_support_signal,missingness_penalty,direct_sample_count,distinct_species_count,nearby_context_points,nearby_context_layer_count,temporal_overlap_points,sampling_recommendation_ready,recommendation_posture,ranking_blockers,recommendation_blockers,warning_flags,rationale
"Hjelmars rör (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:hjelmars-r-r-v-stra-g-talands-l-n-falk-ping-falbygden:58-1697-13-578,atlas_exploration,downgraded,0.6355,0.9025,0.5,0.3467,0.9999,0.165,15,1,31,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 31 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9999 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Falköping-5 (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:falk-ping-5-v-stra-g-talands-l-n-falk-ping:58-166-13-573,atlas_exploration,downgraded,0.6341,0.9025,0.5,0.3467,0.9959,0.165,8,1,30,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 30 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9959 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Frälsegården (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:fr-lseg-rden-v-stra-g-talands-l-n-falk-ping-falbygden:58-1644-13-4547,atlas_exploration,downgraded,0.6339,0.9025,0.5,0.3467,0.9954,0.165,54,1,31,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 54 direct ancient-DNA samples support 1 species at this locality anchor | 31 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9954 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Frojel (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:frojel-gotlands-l-n-gotland:57-34-18-19,atlas_exploration,downgraded,0.6334,0.9025,0.5,0.3467,0.9939,0.165,29,1,340,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 29 direct ancient-DNA samples support 1 species at this locality anchor | 340 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9939 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Rössberga (Götaland, Västergötland)",homo_sapiens:aadr:sweden:r-ssberga-g-taland-v-sterg-tland:58-183333-13-65,atlas_exploration,downgraded,0.632,0.9025,0.5,0.3467,0.99,0.165,26,1,29,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 26 direct ancient-DNA samples support 1 species at this locality anchor | 29 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9900 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Landbogården (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:landbog-rden-v-stra-g-talands-l-n-falk-ping-falbygden:58-1775-13-4344,atlas_exploration,downgraded,0.631,0.9025,0.5,0.3467,0.987,0.165,11,1,31,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 11 direct ancient-DNA samples support 1 species at this locality anchor | 31 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9870 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Nästegården (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:n-steg-rden-v-stra-g-talands-l-n-falk-ping:58-1544-13-5222,atlas_exploration,downgraded,0.6285,0.9025,0.5,0.3467,0.9799,0.165,6,1,32,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 32 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9799 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Stora-Karlsö (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:stora-karlso-gotlands-l-n-gotland:57-287-18-206,atlas_exploration,downgraded,0.6251,0.9025,0.5,0.3467,0.9702,0.165,7,1,377,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 377 nearby context points across 11 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9702 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Varnhem (Västra Götalands län, Skara)",homo_sapiens:aadr:sweden:varnhem-v-stra-g-talands-l-n-skara:58-38-13-65,atlas_exploration,downgraded,0.6214,0.9025,0.5,0.3467,0.9595,0.165,31,1,63,12,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 31 direct ancient-DNA samples support 1 species at this locality anchor | 63 nearby context points across 12 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9595 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Oland,homo_sapiens:aadr:sweden:oland:56-8792364-16-7212765,atlas_exploration,downgraded,0.6041,0.9025,0.5,0.3467,0.9103,0.165,32,1,295,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 32 direct ancient-DNA samples support 1 species at this locality anchor | 295 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9103 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
