site_id,site_uuid,site_name,country,latitude,longitude,source_url,discovery_readiness,chronology_resolved,chronology_interval_count,chronology_record_count,chronology_kind_count,chronology_kinds,bibliography_count,dataset_count,sample_group_count,physical_sample_count,analysis_entity_count,raa_density_context_count,raa_context_role,current_activity_status,discovery_rank
4149,bb77097a-0593-4699-861e-4715bf18e27a,Grävsten herrgård,Sweden,58.3515719205,15.8922615755,https://browser.sead.se/site/4149,chronology_and_bibliography_ready,True,89,398,2,"[""dating_range"", ""dendrochronology""]",691,690,6,116,690,9863,coarse_spatial_context_only,not_captured_by_repository_sources,1
3973,d4efb75a-b957-44b5-9c24-e42adb7a56a5,Tvartorps gård,Sweden,58.8356707398,15.8465332706,https://browser.sead.se/site/3973,chronology_and_bibliography_ready,True,152,289,2,"[""dating_range"", ""dendrochronology""]",504,504,15,84,504,9863,coarse_spatial_context_only,not_captured_by_repository_sources,2
4052,52de9e4d-d13e-459a-9ccf-0702b6d5588a,Norra Mellby kyrka,Sweden,56.0487252518,13.7194676553,https://browser.sead.se/site/4052,chronology_and_bibliography_ready,True,216,253,2,"[""dating_range"", ""dendrochronology""]",454,454,2,70,454,8912,coarse_spatial_context_only,not_captured_by_repository_sources,3
4066,157aaed0-c5d8-4cf4-aef5-e1a9652ce37f,Lärbro kyrka,Sweden,57.7871605877,18.7938608719,https://browser.sead.se/site/4066,chronology_and_bibliography_ready,True,109,252,2,"[""dating_range"", ""dendrochronology""]",426,426,1,72,426,13558,coarse_spatial_context_only,not_captured_by_repository_sources,4
3890,d7e8b031-ce90-44d8-9637-a0fffce70368,Kvarteret Ciselören,Sweden,57.6684137998,14.9702453854,https://browser.sead.se/site/3890,chronology_and_bibliography_ready,True,102,236,2,"[""dating_range"", ""dendrochronology""]",378,378,1,64,378,8067,coarse_spatial_context_only,not_captured_by_repository_sources,5
3924,bebb6adb-fefb-461e-80bd-779e7d799ac3,Ösjöfors handpappersbruk,Sweden,57.7558690113,15.5669247642,https://browser.sead.se/site/3924,chronology_and_bibliography_ready,True,78,232,2,"[""dating_range"", ""dendrochronology""]",406,406,4,58,406,4004,coarse_spatial_context_only,not_captured_by_repository_sources,6
4152,e6b74e68-d8ef-4b50-a458-2c2e55943c1c,Glimmingehus,Sweden,55.5009089705,14.2310562858,https://browser.sead.se/site/4152,chronology_and_bibliography_ready,True,163,221,2,"[""dating_range"", ""dendrochronology""]",548,548,3,85,548,3205,coarse_spatial_context_only,not_captured_by_repository_sources,7
4034,6ea8dd44-eb50-4fc2-8688-cf5e0eb24dd7,Rogslösa kyrka,Sweden,58.3828598943,14.7435739026,https://browser.sead.se/site/4034,chronology_and_bibliography_ready,True,143,203,2,"[""dating_range"", ""dendrochronology""]",361,360,1,63,360,3815,coarse_spatial_context_only,not_captured_by_repository_sources,8
3906,ca39e951-7745-4e4c-8e84-7627921796b3,Hunnebergsgatan,Sweden,58.412078418,15.613317767,https://browser.sead.se/site/3906,chronology_and_bibliography_ready,True,86,186,2,"[""dating_range"", ""dendrochronology""]",434,434,5,67,434,9863,coarse_spatial_context_only,not_captured_by_repository_sources,9
4161,1cbb1bae-963b-4c37-99bd-643d270f607a,Föllingsö säteri,Sweden,57.9792353144,15.5982792286,https://browser.sead.se/site/4161,chronology_and_bibliography_ready,True,65,169,2,"[""dating_range"", ""dendrochronology""]",258,258,6,43,258,4004,coarse_spatial_context_only,not_captured_by_repository_sources,10
4191,1c94061f-62b9-4493-9375-5796254d3078,Cramérska huset,Sweden,57.6413266574,18.2957180164,https://browser.sead.se/site/4191,chronology_and_bibliography_ready,True,94,163,2,"[""dating_range"", ""dendrochronology""]",258,258,1,43,258,13558,coarse_spatial_context_only,not_captured_by_repository_sources,11
4049,906279cf-1297-4b6c-a6ef-6f60fb2d621f,Norra Åsums kyrka,Sweden,55.9895996121,14.1514451464,https://browser.sead.se/site/4049,chronology_and_bibliography_ready,True,141,161,2,"[""dating_range"", ""dendrochronology""]",335,335,1,50,335,3205,coarse_spatial_context_only,not_captured_by_repository_sources,12
4112,16c0f92e-091f-4e10-a646-2a16df15c14a,Härnevi kyrka,Sweden,59.7272333569,17.0759149131,https://browser.sead.se/site/4112,chronology_and_bibliography_ready,True,108,153,2,"[""dating_range"", ""dendrochronology""]",318,318,1,49,318,27450,coarse_spatial_context_only,not_captured_by_repository_sources,13
4169,129e9553-eda6-460c-bed3-02db461fac44,Flöxhult säteri,Sweden,57.0616855739,15.5916708875,https://browser.sead.se/site/4169,chronology_and_bibliography_ready,True,79,152,2,"[""dating_range"", ""dendrochronology""]",319,319,9,49,319,4004,coarse_spatial_context_only,not_captured_by_repository_sources,14
3843,af14f744-8d00-4b7b-899e-d6a3fba5a098,Verksgatan,Sweden,58.1988383361,16.0048511229,https://browser.sead.se/site/3843,chronology_and_bibliography_ready,True,32,148,2,"[""dating_range"", ""dendrochronology""]",204,204,3,34,204,12413,coarse_spatial_context_only,not_captured_by_repository_sources,15
4005,faaf84bc-385f-4ffc-8528-f250e5483ca1,Smedstorp,Sweden,57.9433759312,15.4137172846,https://browser.sead.se/site/4005,chronology_and_bibliography_ready,True,26,142,2,"[""dating_range"", ""dendrochronology""]",222,222,5,37,222,4004,coarse_spatial_context_only,not_captured_by_repository_sources,16
4117,673287d2-df18-4435-9b1c-fb6167fde8a6,Hunnebergsgatan 30A,Sweden,58.413038648,15.6097230179,https://browser.sead.se/site/4117,chronology_and_bibliography_ready,True,44,136,2,"[""dating_range"", ""dendrochronology""]",292,292,2,44,292,9863,coarse_spatial_context_only,not_captured_by_repository_sources,17
4135,80e1fded-df2d-4c15-98bd-de9219f4a6e0,Hammarlunda kyrka,Sweden,55.7370635839,13.438054968,https://browser.sead.se/site/4135,chronology_and_bibliography_ready,True,101,121,2,"[""dating_range"", ""dendrochronology""]",282,282,1,47,282,6654,coarse_spatial_context_only,not_captured_by_repository_sources,18
4165,e52feb52-2468-4640-b24a-9b372e626bf4,Fröken Löfgrens gård,Sweden,58.4124597098,15.627324903,https://browser.sead.se/site/4165,chronology_and_bibliography_ready,True,36,121,2,"[""dating_range"", ""dendrochronology""]",234,234,1,69,234,9863,coarse_spatial_context_only,not_captured_by_repository_sources,19
4013,ff4fb238-e084-4246-a8a7-c773f39abd28,Skarp-Ösby,Sweden,60.0592589036,18.1975051069,https://browser.sead.se/site/4013,chronology_and_bibliography_ready,True,26,118,2,"[""dating_range"", ""dendrochronology""]",168,168,2,28,168,3238,coarse_spatial_context_only,not_captured_by_repository_sources,20
4098,49780734-0a7e-495c-9a3e-9af5382cd4f1,Krapperups borg,Sweden,56.2620769233,12.5302627748,https://browser.sead.se/site/4098,chronology_and_bibliography_ready,True,107,116,2,"[""dating_range"", ""dendrochronology""]",283,283,1,43,283,6333,coarse_spatial_context_only,not_captured_by_repository_sources,21
4172,0d6f9784-e765-4355-b65a-65278e132025,Fjellskäfte säteri,Sweden,59.1191566711,16.3647591532,https://browser.sead.se/site/4172,chronology_and_bibliography_ready,True,51,110,2,"[""dating_range"", ""dendrochronology""]",203,203,2,29,203,15126,coarse_spatial_context_only,not_captured_by_repository_sources,22
3990,304d2e4d-1f39-491c-88eb-e5d1049a8e7e,Sundbyviks gård,Sweden,59.4496174411,16.3425451286,https://browser.sead.se/site/3990,chronology_and_bibliography_ready,True,6,108,2,"[""dating_range"", ""dendrochronology""]",162,162,2,27,162,15126,coarse_spatial_context_only,not_captured_by_repository_sources,23
4121,c9a36da6-d86c-48e6-9da5-e0c443c53c93,Hovdala slott,Sweden,56.1036848292,13.7137204295,https://browser.sead.se/site/4121,chronology_and_bibliography_ready,True,73,101,2,"[""dating_range"", ""dendrochronology""]",218,217,3,36,217,8912,coarse_spatial_context_only,not_captured_by_repository_sources,24
3900,05c7d809-4d43-4217-aa30-73f0228ca31c,Ingatorp,Sweden,57.6380382075,15.4073076125,https://browser.sead.se/site/3900,chronology_and_bibliography_ready,True,80,100,2,"[""dating_range"", ""dendrochronology""]",239,239,2,37,239,4004,coarse_spatial_context_only,not_captured_by_repository_sources,25
4222,573b0593-a046-42f8-9a7d-d0fd00ec7494,Bankekinds kyrka,Sweden,58.3760722953,15.8200924421,https://browser.sead.se/site/4222,chronology_and_bibliography_ready,True,74,100,2,"[""dating_range"", ""dendrochronology""]",162,162,1,28,162,9863,coarse_spatial_context_only,not_captured_by_repository_sources,26
4162,074373e7-f168-4eb8-9611-49402e600028,Färlövs kyrka,Sweden,56.0741126978,14.083255033,https://browser.sead.se/site/4162,chronology_and_bibliography_ready,True,88,92,2,"[""dating_range"", ""dendrochronology""]",156,156,1,26,156,10817,coarse_spatial_context_only,not_captured_by_repository_sources,27
4039,c32f2531-a19e-41fa-876a-f3f10c53700e,Perstorps kyrka,Sweden,56.1416136158,13.3867602912,https://browser.sead.se/site/4039,chronology_and_bibliography_ready,True,76,88,2,"[""dating_range"", ""dendrochronology""]",202,202,2,30,202,8912,coarse_spatial_context_only,not_captured_by_repository_sources,28
4164,9c6dbdb8-e169-4bb8-b912-2aa948cd8f92,Furingstads kyrka,Sweden,58.5554415248,16.3444366205,https://browser.sead.se/site/4164,chronology_and_bibliography_ready,True,73,85,2,"[""dating_range"", ""dendrochronology""]",160,160,1,24,160,12413,coarse_spatial_context_only,not_captured_by_repository_sources,29
4014,8eb636b3-b7d1-436c-8e09-cda8c69ee0de,Skabersjö slott,Sweden,55.5407035295,13.1471592635,https://browser.sead.se/site/4014,chronology_and_bibliography_ready,True,52,84,2,"[""dating_range"", ""dendrochronology""]",188,188,1,28,188,6654,coarse_spatial_context_only,not_captured_by_repository_sources,30
4214,551a6e4d-9b19-4892-91a1-978b53696281,Bjärsjöholms slott,Sweden,55.4534400797,13.7775800683,https://browser.sead.se/site/4214,chronology_and_bibliography_ready,True,58,84,2,"[""dating_range"", ""dendrochronology""]",162,162,1,27,162,6654,coarse_spatial_context_only,not_captured_by_repository_sources,31
3913,526acab1-74bc-434e-864e-e9582973c596,Friggestad,Sweden,55.9026716839,13.9326988282,https://browser.sead.se/site/3913,chronology_and_bibliography_ready,True,60,84,2,"[""dating_range"", ""dendrochronology""]",144,144,3,25,144,6654,coarse_spatial_context_only,not_captured_by_repository_sources,32
3994,fd107efc-6115-41cd-8d8b-55fe53fa786d,Stora Köpinge kyrka,Sweden,55.470583297,13.9474727836,https://browser.sead.se/site/3994,chronology_and_bibliography_ready,True,68,82,2,"[""dating_range"", ""dendrochronology""]",168,168,1,30,168,6654,coarse_spatial_context_only,not_captured_by_repository_sources,33
3840,000ef3d9-389f-46cd-8cf9-a9c49507f5cd,Vippröste,Sweden,58.1240511434,15.4352815847,https://browser.sead.se/site/3840,chronology_and_bibliography_ready,True,12,80,2,"[""dating_range"", ""dendrochronology""]",140,140,1,21,140,9863,coarse_spatial_context_only,not_captured_by_repository_sources,34
4174,5e3a3d5c-0bd1-4832-bdc2-69f717de8a2f,Finntorp,Sweden,58.8976171968,15.9373051965,https://browser.sead.se/site/4174,chronology_and_bibliography_ready,True,6,80,2,"[""dating_range"", ""dendrochronology""]",120,120,2,20,120,9863,coarse_spatial_context_only,not_captured_by_repository_sources,35
4080,369c946e-5ff5-4aa5-be6a-56ccead2300e,Lau Kyrka,Sweden,57.2829069812,18.6201900158,https://browser.sead.se/site/4080,chronology_and_bibliography_ready,True,26,77,2,"[""dating_range"", ""dendrochronology""]",120,120,1,20,120,13558,coarse_spatial_context_only,not_captured_by_repository_sources,36
3893,0f31d67c-544d-452b-ab1f-b19a26e6bde3,Kvarteret Boktryckaren,Sweden,57.6683956105,14.9693066636,https://browser.sead.se/site/3893,chronology_and_bibliography_ready,True,30,76,2,"[""dating_range"", ""dendrochronology""]",144,144,1,24,144,8067,coarse_spatial_context_only,not_captured_by_repository_sources,37
4130,90f62ffb-b8d5-402b-8db7-64ddce26859f,Hejde kyrka,Sweden,57.41279186,18.346056546,https://browser.sead.se/site/4130,chronology_and_bibliography_ready,True,29,75,2,"[""dating_range"", ""dendrochronology""]",123,123,1,20,123,13558,coarse_spatial_context_only,not_captured_by_repository_sources,38
4219,c95e0b67-3a85-48bc-b378-cf1cbf59aeb0,Biskops,Sweden,57.8524433281,19.0470244846,https://browser.sead.se/site/4219,chronology_and_bibliography_ready,True,46,75,2,"[""dating_range"", ""dendrochronology""]",114,114,1,19,114,,coarse_spatial_context_only,not_captured_by_repository_sources,39
4142,ebbaa6f2-770c-45c5-b8e7-a150ce8ac49a,Hagebyhöga kyrka,Sweden,58.46746785,14.9747329733,https://browser.sead.se/site/4142,chronology_and_bibliography_ready,True,60,74,2,"[""dating_range"", ""dendrochronology""]",211,211,1,34,211,3815,coarse_spatial_context_only,not_captured_by_repository_sources,40
4143,47772855-7860-4774-bd8c-3698cd842914,Hagby kyrka,Sweden,56.5546307122,16.1766390834,https://browser.sead.se/site/4143,chronology_and_bibliography_ready,True,30,72,2,"[""dating_range"", ""dendrochronology""]",132,132,1,22,132,6159,coarse_spatial_context_only,not_captured_by_repository_sources,41
3982,29fc07b9-556d-4e0c-b62a-07b85f1eeb1a,Toresbo,Sweden,56.687873753,15.794011781,https://browser.sead.se/site/3982,chronology_and_bibliography_ready,True,16,72,2,"[""dating_range"", ""dendrochronology""]",102,102,1,17,102,5849,coarse_spatial_context_only,not_captured_by_repository_sources,42
3920,675d9b53-e0e7-4aec-bfcf-004244dbf35d,Stockholms Slott,Sweden,59.3268384536,18.0716158312,https://browser.sead.se/site/3920,chronology_and_bibliography_ready,True,44,69,2,"[""dating_range"", ""dendrochronology""]",253,253,1,40,253,10763,coarse_spatial_context_only,not_captured_by_repository_sources,43
4224,881fae1e-f63c-4a2a-8f20-e15681223332,Baldringe kyrka,Sweden,55.5299390885,13.8401822932,https://browser.sead.se/site/4224,chronology_and_bibliography_ready,True,32,68,2,"[""dating_range"", ""dendrochronology""]",174,174,1,33,174,6654,coarse_spatial_context_only,not_captured_by_repository_sources,44
4213,32bbd3a2-412c-4987-a47c-6a3e2e6ee0d1,Björka kyrka,Sweden,55.656727137,13.6350501242,https://browser.sead.se/site/4213,chronology_and_bibliography_ready,True,56,68,2,"[""dating_range"", ""dendrochronology""]",137,137,1,20,137,6654,coarse_spatial_context_only,not_captured_by_repository_sources,45
3916,4b11319b-6831-45d4-8b6b-b1d02b5f80eb,Borntorp,Sweden,59.9812361508,18.7313972675,https://browser.sead.se/site/3916,chronology_and_bibliography_ready,True,18,68,2,"[""dating_range"", ""dendrochronology""]",131,131,1,19,131,10763,coarse_spatial_context_only,not_captured_by_repository_sources,46
4212,3fe83a56-9d5a-4477-8d85-ffdab003e52d,Bonderups kyrka,Sweden,55.6397157063,13.3565138671,https://browser.sead.se/site/4212,chronology_and_bibliography_ready,True,52,68,2,"[""dating_range"", ""dendrochronology""]",126,126,1,22,126,6654,coarse_spatial_context_only,not_captured_by_repository_sources,47
4054,bc85ede6-a2b8-4382-87ec-e7547f619c15,Noors Herrgård,Sweden,59.8749269109,18.8372757059,https://browser.sead.se/site/4054,chronology_and_bibliography_ready,True,8,68,2,"[""dating_range"", ""dendrochronology""]",123,123,2,19,123,10763,coarse_spatial_context_only,not_captured_by_repository_sources,48
