locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
Frälsegården,58.1644,13.4547,107,3859,5336,4598,3859-5336 BP,"1240k,ho",FRA001.SG;FRA001_d.SG;FRA002.SG;FRA002_d.SG;FRA003.SG;FRA003_d.SG;FRA004.SG;FRA004_d.SG;FRA005.SG;FRA005_d.SG;FRA006.SG;FRA006_d.SG;FRA007.SG;FRA007_d.SG;FRA009.SG;FRA009_d.SG;FRA010.SG;FRA010_d.SG;FRA011.SG;FRA011_d.SG;FRA012.SG;FRA012_d.SG;FRA013.SG;FRA013_d.SG;FRA014.SG;FRA014_d.SG;FRA015.SG;FRA015_d.SG;FRA020.SG;FRA020_d.SG;FRA021.SG;FRA021_d.SG;FRA022.SG;FRA022_d.SG;FRA023.SG;FRA023_d.SG;FRA024.SG;FRA024_d.SG;FRA025.SG;FRA025_d.SG;FRA026.SG;FRA026_d.SG;FRA027.SG;FRA027_d.SG;FRA028.SG;FRA028_d.SG;FRA029.SG;FRA029_d.SG;FRA030.SG;FRA030_d.SG;FRA031.SG;FRA031_d.SG;FRA032.SG;FRA032_d.SG;FRA033.SG;FRA033_d.SG;FRA034.SG;FRA034_d.SG;FRA035.SG;FRA035_d.SG;FRA037.SG;FRA037_d.SG;FRA038.SG;FRA038_d.SG;FRA039.SG;FRA039_d.SG;FRA040.SG;FRA040_d.SG;FRA041.SG;FRA041_d.SG;FRA042.SG;FRA042_d.SG;FRA043.SG;FRA043_d.SG;FRA101.SG;FRA101_d.SG;FRA102.SG;FRA102_d.SG;FRA103.SG;FRA103_d.SG;FRA104.SG;FRA104_d.SG;FRA105.SG;FRA105_d.SG;FRA106.SG;FRA106_d.SG;FRA107.SG;FRA107_d.SG;FRA108.SG;FRA108_d.SG;FRA201.SG;FRA201_d.SG;FRA202.SG;FRA202_d.SG;FRA301.SG;FRA301_d.SG;FRA302.SG;FRA302_d.SG;Gok2.SG;Gok2_d.SG;Gok4.SG;Gok4_d.SG;gok008.SG;gok008_d.SG;gok009.SG;gok020.SG;gok020_d.SG
Rössberga,58.22959,13.60585,48,4488,5412,4950,4488-5412 BP,"1240k,ho",ROS001.SG;ROS001_d.SG;ROS002.SG;ROS002_d.SG;ROS003.SG;ROS003_d.SG;ROS004.SG;ROS004_d.SG;ROS005.SG;ROS005_d.SG;ROS007.SG;ROS007_d.SG;ROS008.SG;ROS008_d.SG;ROS014.SG;ROS014_d.SG;ROS016.SG;ROS016_d.SG;ROS018.SG;ROS018_d.SG;ROS021.SG;ROS021_d.SG;ROS023.SG;ROS023_d.SG;ROS024.SG;ROS024_d.SG;ROS025.SG;ROS025_d.SG;ROS026.SG;ROS026_d.SG;ROS027.SG;ROS027_d.SG;ROS029.SG;ROS029_d.SG;ROS030.SG;ROS030_d.SG;ROS032.SG;ROS032_d.SG;ROS033.SG;ROS033_d.SG;ROS036.SG;ROS036_d.SG;ROS038.SG;ROS038_d.SG;ROS039.SG;ROS039_d.SG;ros012.SG;ros012_d.SG
Hjelmars rör,58.1697,13.578,34,4815,5335,5075,4815-5335 BP,"1240k,ho",CGG105976.SG;CGG105976_d.SG;CGG105978.SG;CGG105978_d.SG;CGG105983.SG;CGG105983_d.SG;HJE001.SG;HJE001_d.SG;HJE002.SG;HJE002_d.SG;HJE003.SG;HJE003_d.SG;HJE004.SG;HJE004_d.SG;HJE005.SG;HJE005_d.SG;HJE006.SG;HJE006_d.SG;HJE007.SG;HJE007_d.SG;HJE008.SG;HJE008_d.SG;HJE009.SG;HJE009_d.SG;HJE010.SG;HJE010_d.SG;HJE011.SG;HJE011_d.SG;HJE012.SG;HJE012_d.SG;HJE013.SG;HJE013_d.SG;HJE014.SG;HJE014_d.SG
"Varnhem (Västra Götalands län, Skara)",58.38,13.65,31,726,1074,900,726-1074 BP,"1240k,ho",VK29.SG;VK30.SG;VK303.SG;VK304.SG;VK306.SG;VK308.SG;VK309.SG;VK31.SG;VK33.SG;VK34.SG;VK35.SG;VK39.SG;VK395.SG;VK396.SG;VK397.SG;VK398.SG;VK399.SG;VK40.SG;VK400.SG;VK401.SG;VK402.SG;VK403.SG;VK404.SG;VK405.SG;VK406.SG;VK407.SG;VK42.SG;VK424.SG;VK425.SG;VK426.SG;VK427.SG
"Frojel (Gotlands län, Gotland)",57.34,18.19,29,889,1061,975,889-1061 BP,"1240k,ho",VK428.SG;VK429.SG;VK430.SG;VK431.SG;VK432.SG;VK433.SG;VK434.SG;VK435.SG;VK437.SG;VK438.SG;VK439.SG;VK440.SG;VK441.SG;VK455.SG;VK456.SG;VK457.SG;VK458.SG;VK459.SG;VK460.SG;VK461.SG;VK462.SG;VK463.SG;VK464.SG;VK56.SG;VK57.SG;VK58.SG;VK60.SG;VK63.SG;VK64.SG
Landbogården,58.1775,13.4344,28,4546,5354,4950,4546-5354 BP,"1240k,ho",CGG105987.SG;CGG105987_d.SG;CGG105992.SG;CGG105992_d.SG;CGG105998.SG;CGG105998_d.SG;CGG106001.SG;CGG106001_d.SG;LAN001.SG;LAN001_d.SG;LAN002.SG;LAN002_d.SG;LAN003.SG;LAN003_d.SG;LAN004.SG;LAN004_d.SG;LAN005.SG;LAN005_d.SG;LAN006.SG;LAN006_d.SG;LAN007.SG;LAN007_d.SG;LAN008.SG;LAN008_d.SG;LAN009.SG;LAN009_d.SG;LAN010.SG;LAN010_d.SG
"Kopparsvik (Gotlands län, Gotland)",57.63,18.28,22,889,1061,975,889-1061 BP,"1240k,ho",VK232.SG;VK251.SG;VK450.SG;VK452.SG;VK453.SG;VK454.SG;VK467.SG;VK468.SG;VK469.SG;VK471.SG;VK472.SG;VK473.SG;VK474.SG;VK475.SG;VK476.SG;VK477.SG;VK478.SG;VK479.SG;VK48.SG;VK50.SG;VK51.SG;VK53.SG
"Västerbjers (Gotland, Gothem parish)",57.58,18.7,15,4383,5043,4713,4383-5043 BP,"1240k,ho",vbj001.SG;vbj002.SG;vbj003.SG;vbj004.SG;vbj006_UDG.SG;vbj006_nonUDG.SG;vbj007.SG;vbj008.SG;vbj008_d.SG;vbj012.SG;vbj013.SG;vbj014.SG;vbj015.SG;vbj017.SG;vbj018.SG
"Kronan (Kalmar län, Mörbylånga)",56.4,16.6,12,274,274,274,274 BP,"1240k,ho",kro001.SG;kro002.SG;kro004.SG;kro006.SG;kro008_viking.SG;kro009_viking.SG;kro010.SG;kro011.SG;kro012.SG;kro013.SG;kro014.SG;kro015.SG
Nästegården,58.1544,13.5222,12,3530,4128,3829,3530-4128 BP,"1240k,ho",CGG106007.SG;CGG106007_d.SG;NAS001.SG;NAS001_d.SG;NAS002.SG;NAS002_d.SG;NAS003.SG;NAS003_d.SG;NAS004.SG;NAS004_d.SG;NAS005.SG;NAS005_d.SG
