genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
RISE175.SG,RISE175,Sweden_BA.SG,Abekås I,Sweden,55.397,13.6,AllentoftNature2015,2015,"1396-1131 calBCE (3025±30 BP, OxA-28998)",3233,60,3113,3353,3233,"1396-1131 calBCE (3025±30 BP, OxA-28998)",Shotgun,M,"1240k,ho"
RISE179.SG,RISE179,Sweden_LN.SG,Abekås I,Sweden,55.397,13.6,AllentoftNature2015,2015,"2015-1774 calBCE (3556±28 BP, OxA-29193)",3843,55,3733,3953,3843,"2015-1774 calBCE (3556±28 BP, OxA-29193)",Shotgun,M,"1240k,ho"
ajv28.SG,ajv28,Sweden_Gotland_Ajvide_PittedWare_BattleAxe.SG,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,CoutinhoJakobssonAJPA2020,2020,"3002-2705 calBCE (4265±33 BP, Ua-57848)",4829,47,4735,4923,4829,"3002-2705 calBCE (4265±33 BP, Ua-57848)",Shotgun.pulled.down.only.on.1240k.autosomal.targets.-.need.to.make.a.whole.genome.bam,F,"1240k,ho"
ajv36.SG,ajv36,Sweden_Gotland_Ajvide_PittedWare_BattleAxe.SG,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,CoutinhoJakobssonAJPA2020,2020,"3086-2899 calBCE (4355±33 BP, Ua-57849)",4924,49,4826,5022,4924,"3086-2899 calBCE (4355±33 BP, Ua-57849)",Shotgun.pulled.down.only.on.1240k.autosomal.targets.-.need.to.make.a.whole.genome.bam,F,"1240k,ho"
ajv54.SG,ajv54,Sweden_PWC.SG,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,MalmstromProcBiolSci2019,2019,"3008-2783 calBCE (4280±30 BP, Beta-423308)",4849,30,4789,4909,4849,"3008-2783 calBCE (4280±30 BP, Beta-423308)",Shotgun,M,"1240k,ho"
als001.SG,als001,Sweden_central_Pre_Viking.SG,"Alsike (Uppsala län, Knivsta)",Sweden,59.8,17.8,Rodríguez-VarelaScienceDirect2023,2023,575-600 CE,1363,7,1349,1377,1363,575-600 CE,Shotgun,M,"1240k,ho"
als007.SG,als007,Sweden_central_Late_Viking.SG,"Alsike (Uppsala län, Knivsta)",Sweden,59.8,17.8,Rodríguez-VarelaScienceDirect2023,2023,950-1000 CE,975,14,947,1003,975,950-1000 CE,Shotgun,M,"1240k,ho"
als010.SG,als010,Sweden_central_Late_Viking.SG,"Alsike (Uppsala län, Knivsta)",Sweden,59.8,17.8,Rodríguez-VarelaScienceDirect2023,2023,950-1000 CE,975,14,947,1003,975,950-1000 CE,Shotgun,F,"1240k,ho"
als015.SG,als015,Sweden_central_Late_Viking.SG,"Alsike (Uppsala län, Knivsta)",Sweden,59.8,17.8,Rodríguez-VarelaScienceDirect2023,2023,800-900 CE,1100,29,1042,1158,1100,800-900 CE,Shotgun,M,"1240k,ho"
ans003.SG,ans003,Sweden_Ansarve_Megalithic.SG,Ansarve,Sweden,57.509,18.14,SanchezQuintoPNAS2019,2019,"3525-3097 calBCE (4595±65 BP, Ua-3783; 4560±30 BP, Beta-432256)",5282,133,5016,5548,5282,"3525-3097 calBCE (4595±65 BP, Ua-3783; 4560±30 BP, Beta-432256)",Shotgun,F,"1240k,ho"
ans005.SG,ans005,Sweden_Ansarve_Megalithic.SG,Ansarve,Sweden,57.509,18.14,SanchezQuintoPNAS2019,2019,"3500-3130 calBCE (4640±70 BP, Ua-3785; 4580±30 BP, Beta-432257)",5367,117,5133,5601,5367,"3500-3130 calBCE (4640±70 BP, Ua-3785; 4580±30 BP, Beta-432257)",Shotgun,F,"1240k,ho"
ans008.SG,ans008,Sweden_Ansarve_Megalithic.SG,Ansarve,Sweden,57.509,18.14,SanchezQuintoPNAS2019,2019,"3342-3031 calBCE (4480±31 BP, Ua-45398)",5154,87,4980,5328,5154,"3342-3031 calBCE (4480±31 BP, Ua-45398)",Shotgun,M,"1240k,ho"
ans014.SG,ans014,Sweden_Ansarve_Megalithic.SG,Ansarve,Sweden,57.509,18.14,SanchezQuintoPNAS2019,2019,"3336-2937 calBCE (4450±30 BP, Beta-402962)",5111,108,4895,5327,5111,"3336-2937 calBCE (4450±30 BP, Beta-402962)",Shotgun,M,"1240k,ho"
