genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
RISE175.SG,9519,Sweden_BA,"Abekås I (Skåne County, Skurup Municipality)",Sweden,55.397,13.6,AllentoftWillerslevNature2015,,"1396-1131 calBCE (3025±30 BP, OxA-28998)",3233,60,3113,3353,3233,"1396-1131 calBCE (3025±30 BP, OxA-28998)",Shotgun,M,"1240k,ho"
RISE179.SG,9520,Sweden_LN,"Abekås I (Skåne County, Skurup Municipality)",Sweden,55.397,13.6,AllentoftWillerslevNature2015,,"2015-1774 calBCE (3556±28 BP, OxA-29193)",3843,55,3733,3953,3843,"2015-1774 calBCE (3556±28 BP, OxA-29193)",Shotgun,M,"1240k,ho"
ajv28.SG,5596,Sweden_PittedWare,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,CoutinhoJakobssonAJBA2020,,"3002-2705 calBCE (4265±33 BP, Ua-57848)",4829,47,4735,4923,4829,"3002-2705 calBCE (4265±33 BP, Ua-57848)",Shotgun pulled down only on 1240k autosomal targets - need to make a whole genome bam,F,"1240k,ho"
ajv36.SG,5597,Sweden_PittedWare,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,CoutinhoJakobssonAJBA2020,,"3086-2899 calBCE (4355±33 BP, Ua-57849)",4924,49,4826,5022,4924,"3086-2899 calBCE (4355±33 BP, Ua-57849)",Shotgun pulled down only on 1240k autosomal targets - need to make a whole genome bam,F,"1240k,ho"
ajv54.SG,7097,Sweden_PittedWare,"Ajvide Settlement (Gotland, Eksta)",Sweden,57.281086,18.169117,MalmströmJakobssonProcBiolSci2019,,"3008-2783 calBCE (4280±30 BP, Beta-423308)",4849,30,4789,4909,4849,"3008-2783 calBCE (4280±30 BP, Beta-423308)",Shotgun,M,"1240k,ho"
CGG_2_105920.SG,117669,Sweden_AlbacksbackenMaglarp_LN,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,2030-1826 calBCE (3878±102 BP),4294,150,3994,4594,4294,2030-1826 calBCE (3878±102 BP),Shotgun,F,"1240k,ho"
CGG_2_105922.SG,117671,Sweden_AlbacksbackenMaglarp_LN,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,"2111-1883 calBCE (3947±114 BP, UAB-24005)",4400,179,4042,4758,4400,"2111-1883 calBCE (3947±114 BP, UAB-24005)",Shotgun,F,"1240k,ho"
CGG_2_105923.SG,117673,Sweden_AlbacksbackenMaglarp_LN,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,"1938-1774 calBCE (3806±82 BP, UCIAMS-289239)",4201,125,3951,4451,4201,"1938-1774 calBCE (3806±82 BP, UCIAMS-289239)",Shotgun,M,"1240k,ho"
CGG_2_105925.SG,117675,Sweden_AlbacksbackenMaglarp_EarlyRoman,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,100-100 calCE (1850±0 BP),1745,24,1697,1793,1745,100-100 calCE (1850±0 BP),Shotgun,M,"1240k,ho"
CGG_2_105926.SG,117677,Sweden_AlbacksbackenMaglarp_EarlyRoman,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,150 calBCE - 200 calCE (1925±175 BP),1874,216,1442,2306,1874,150 calBCE - 200 calCE (1925±175 BP),Shotgun,M,"1240k,ho"
CGG_2_105928.SG,117679,Sweden_AlbacksbackenMaglarp_EarlyRoman,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,"196 calBCE - 218 calCE (1939±207 BP, U-8155)",1900,252,1396,2404,1900,"196 calBCE - 218 calCE (1939±207 BP, U-8155)",Shotgun,M,"1240k,ho"
CGG_2_105930.SG,117681,Sweden_AlbacksbackenMaglarp_EarlyRoman,Albäcksbacken Maglarp (Southern Sweden/ Skåne),Sweden,55.37774,13.095066,McCollWillerslevBioRxiv2025,,70-200 calCE (1780±30 BP),1662,39,1584,1740,1662,70-200 calCE (1780±30 BP),Shotgun,M,"1240k,ho"
