feature_id,evidence_row_id,site_record_id,species_latin_name,species_common_name,animal_scope,support_class,locality,political_entity,latitude,longitude,coordinate_basis,coordinate_confidence,sample_count,sample_record_ids,source_native_taxon_labels,source_native_tax_ids,source_native_scientific_names,taxon_alignment_statuses,project_accessions,paper_doi,supplementary_sources,time_label,nordic_inclusion
animal-atlas-feature:bos-taurus-locality-prjeb75467-hjrringtoftebk-denmark,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-hjrringtoftebk-denmark,bos_taurus:locality:prjeb75467:hjrringtoftebk:denmark,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Hjørring, Tofte Bæk",Denmark,57.2407065497517,9.8686973853874,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574419,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,7976-8173 BP,true
animal-atlas-feature:bos-taurus-locality-prjeb75467-lundbyi-denmark,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-lundbyi-denmark,bos_taurus:locality:prjeb75467:lundbyi:denmark,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Lundby I,Denmark,55.3584015935903,11.3931303537925,supplementary_proximal_site_coordinates,approximate,2,bos_taurus:sample:prjeb75467:samea115574456;bos_taurus:sample:prjeb75467:samea115574457,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,6748-7744 BP,true
animal-atlas-feature:bos-taurus-locality-prjeb75467-nevishg-sweden,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-nevishg-sweden,bos_taurus:locality:prjeb75467:nevishg:sweden,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Nevishög,Sweden,55.6219,13.2297,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574441,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,9133-9536 BP,true
animal-atlas-feature:bos-taurus-locality-prjeb75467-skne-sweden,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-skne-sweden,bos_taurus:locality:prjeb75467:skne:sweden,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Skåne,Sweden,55.8476269883224,13.8093770947441,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574442,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,9434-9657 BP,true
animal-atlas-feature:bos-taurus-locality-prjeb75467-barchedisolferinonearmantova-italy,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-barchedisolferinonearmantova-italy,bos_taurus:locality:prjeb75467:barchedisolferinonearmantova:italy,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Barche di Solferino, near Mantova",Italy,45.1581560673906,10.793506163037,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574423,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,12931-13172 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-barguzinriverbaikal-russia,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-barguzinriverbaikal-russia,bos_taurus:locality:prjeb75467:barguzinriverbaikal:russia,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Barguzin river, Baikal",Russia,51.4966093549618,104.037519968685,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574404,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,11941-12455 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-bedburgknigshoven-germany,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-bedburgknigshoven-germany,bos_taurus:locality:prjeb75467:bedburgknigshoven:germany,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Bedburg-Königshoven,Germany,51.1072285985126,6.46428381971451,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574405,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,11402-11875 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-borly4pavlodarregion-kazakhstan,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-borly4pavlodarregion-kazakhstan,bos_taurus:locality:prjeb75467:borly4pavlodarregion:kazakhstan,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Borly 4, Pavlodar region",Kazakhstan,52.040164667297,77.7272383993485,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574407,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,4839-5025 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-grottadelluzzosicily-italy,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-grottadelluzzosicily-italy,bos_taurus:locality:prjeb75467:grottadelluzzosicily:italy,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Grotta dell'Uzzo, Sicily",Italy,37.5934202669809,13.8526139597698,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574448,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,9429-9542 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-gyumridistrict-armenia,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-gyumridistrict-armenia,bos_taurus:locality:prjeb75467:gyumridistrict:armenia,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Gyumri district,Armenia,41.1320112833211,43.8712544488537,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574418,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,13789-14023 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-herxheim-germany,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-herxheim-germany,bos_taurus:locality:prjeb75467:herxheim:germany,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Herxheim,Germany,49.145275,8.221805,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574420,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,3321-8989 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-novoilinkavivi-russia,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-novoilinkavivi-russia,bos_taurus:locality:prjeb75467:novoilinkavivi:russia,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Novoil`inka-VI (Новоильинка-VI),Russia,51.669,81.911,supplementary_proximal_site_coordinates,approximate,2,bos_taurus:sample:prjeb75467:samea115574428;bos_taurus:sample:prjeb75467:samea115574429,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,4990-5308 BP,false
